first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased,weekly_first_dose,weekly_second_dose,weekly_third_dose,weekly_fourth_dose,Gender
2020/3/15,2020/3/21,0-19,זכר,1190,46,0,,,,,male
2020/3/15,2020/3/21,0-19,לא ידוע,0,0,0,,,,,unknown
2020/3/15,2020/3/21,0-19,נקבה,1000,37,0,,,,,female
2020/3/15,2020/3/21,20-24,זכר,613,93,0,,,,,male
2020/3/15,2020/3/21,20-24,לא ידוע,<15,0,0,,,,,unknown
2020/3/15,2020/3/21,20-24,נקבה,705,49,0,,,,,female
2020/3/15,2020/3/21,25-29,זכר,564,50,0,,,,,male
2020/3/15,2020/3/21,25-29,נקבה,755,47,0,,,,,female
2020/3/15,2020/3/21,25-29,לא ידוע,0,0,0,,,,,unknown
2020/3/15,2020/3/21,30-34,זכר,577,46,0,,,,,male
2020/3/15,2020/3/21,30-34,נקבה,681,35,0,,,,,female
2020/3/15,2020/3/21,30-34,לא ידוע,0,0,0,,,,,unknown
2020/3/15,2020/3/21,35-39,זכר,516,46,0,,,,,male
2020/3/15,2020/3/21,35-39,לא ידוע,<15,0,0,,,,,unknown
2020/3/15,2020/3/21,35-39,נקבה,543,29,0,,,,,female
2020/3/15,2020/3/21,40-44,לא ידוע,0,0,0,,,,,unknown
2020/3/15,2020/3/21,40-44,נקבה,440,19,0,,,,,female
2020/3/15,2020/3/21,40-44,זכר,355,31,0,,,,,male
2020/3/15,2020/3/21,45-49,לא ידוע,<15,0,0,,,,,unknown
2020/3/15,2020/3/21,45-49,נקבה,417,19,0,,,,,female
2020/3/15,2020/3/21,45-49,זכר,325,33,0,,,,,male
2020/3/15,2020/3/21,50-54,זכר,262,32,0,,,,,male
2020/3/15,2020/3/21,50-54,נקבה,368,25,0,,,,,female
2020/3/15,2020/3/21,50-54,לא ידוע,0,0,0,,,,,unknown
2020/3/15,2020/3/21,55-59,זכר,177,15,0,,,,,male
2020/3/15,2020/3/21,55-59,לא ידוע,<15,0,0,,,,,unknown
2020/3/15,2020/3/21,55-59,נקבה,366,31,0,,,,,female
2020/3/15,2020/3/21,60-64,לא ידוע,0,0,0,,,,,unknown
2020/3/15,2020/3/21,60-64,זכר,224,19,0,,,,,male
2020/3/15,2020/3/21,60-64,נקבה,316,22,0,,,,,female
2020/3/15,2020/3/21,65-69,נקבה,214,17,0,,,,,female
2020/3/15,2020/3/21,65-69,זכר,236,28,0,,,,,male
2020/3/15,2020/3/21,65-69,לא ידוע,0,0,0,,,,,unknown
2020/3/15,2020/3/21,70-74,לא ידוע,<15,0,0,,,,,unknown
2020/3/15,2020/3/21,70-74,זכר,195,26,0,,,,,male
2020/3/15,2020/3/21,70-74,נקבה,149,<15,0,,,,,female
2020/3/15,2020/3/21,75-79,זכר,101,<15,0,,,,,male
2020/3/15,2020/3/21,75-79,נקבה,86,<15,0,,,,,female
2020/3/15,2020/3/21,75-79,לא ידוע,0,0,0,,,,,unknown
2020/3/15,2020/3/21,80+,זכר,185,<15,<15,,,,,male
2020/3/15,2020/3/21,80+,נקבה,224,<15,0,,,,,female
2020/3/15,2020/3/21,80+,לא ידוע,0,0,0,,,,,unknown
2020/3/15,2020/3/21,NULL,זכר,167,<15,0,,,,,male
2020/3/15,2020/3/21,NULL,לא ידוע,36,0,0,,,,,unknown
2020/3/15,2020/3/21,NULL,נקבה,184,<15,0,,,,,female
2020/3/22,2020/3/28,0-19,זכר,2681,211,0,,,,,male
2020/3/22,2020/3/28,0-19,לא ידוע,<15,0,0,,,,,unknown
2020/3/22,2020/3/28,0-19,נקבה,2432,169,0,,,,,female
2020/3/22,2020/3/28,20-24,זכר,1975,207,0,,,,,male
2020/3/22,2020/3/28,20-24,לא ידוע,<15,0,0,,,,,unknown
2020/3/22,2020/3/28,20-24,נקבה,2348,168,0,,,,,female
2020/3/22,2020/3/28,25-29,זכר,1792,150,0,,,,,male
2020/3/22,2020/3/28,25-29,נקבה,2159,138,0,,,,,female
2020/3/22,2020/3/28,25-29,לא ידוע,<15,0,0,,,,,unknown
2020/3/22,2020/3/28,30-34,זכר,1687,119,0,,,,,male
2020/3/22,2020/3/28,30-34,נקבה,1815,110,0,,,,,female
2020/3/22,2020/3/28,30-34,לא ידוע,<15,0,0,,,,,unknown
2020/3/22,2020/3/28,35-39,זכר,1326,120,0,,,,,male
2020/3/22,2020/3/28,35-39,לא ידוע,<15,0,0,,,,,unknown
2020/3/22,2020/3/28,35-39,נקבה,1467,78,0,,,,,female
2020/3/22,2020/3/28,40-44,לא ידוע,0,0,0,,,,,unknown
2020/3/22,2020/3/28,40-44,נקבה,1285,74,0,,,,,female
2020/3/22,2020/3/28,40-44,זכר,1052,82,0,,,,,male
2020/3/22,2020/3/28,45-49,לא ידוע,<15,0,0,,,,,unknown
2020/3/22,2020/3/28,45-49,נקבה,1187,104,0,,,,,female
2020/3/22,2020/3/28,45-49,זכר,916,120,0,,,,,male
2020/3/22,2020/3/28,50-54,זכר,719,117,0,,,,,male
2020/3/22,2020/3/28,50-54,נקבה,1143,107,0,,,,,female
2020/3/22,2020/3/28,50-54,לא ידוע,0,0,0,,,,,unknown
2020/3/22,2020/3/28,55-59,זכר,717,125,<15,,,,,male
2020/3/22,2020/3/28,55-59,לא ידוע,<15,0,0,,,,,unknown
2020/3/22,2020/3/28,55-59,נקבה,1016,92,0,,,,,female
2020/3/22,2020/3/28,60-64,לא ידוע,<15,<15,0,,,,,unknown
2020/3/22,2020/3/28,60-64,זכר,794,116,0,,,,,male
2020/3/22,2020/3/28,60-64,נקבה,900,77,0,,,,,female
2020/3/22,2020/3/28,65-69,נקבה,587,69,<15,,,,,female
2020/3/22,2020/3/28,65-69,זכר,599,69,0,,,,,male
2020/3/22,2020/3/28,65-69,לא ידוע,<15,0,0,,,,,unknown
2020/3/22,2020/3/28,70-74,לא ידוע,<15,0,0,,,,,unknown
2020/3/22,2020/3/28,70-74,זכר,410,55,<15,,,,,male
2020/3/22,2020/3/28,70-74,נקבה,398,38,0,,,,,female
2020/3/22,2020/3/28,75-79,זכר,265,40,<15,,,,,male
2020/3/22,2020/3/28,75-79,נקבה,241,22,<15,,,,,female
2020/3/22,2020/3/28,75-79,לא ידוע,<15,0,0,,,,,unknown
2020/3/22,2020/3/28,80+,זכר,416,32,<15,,,,,male
2020/3/22,2020/3/28,80+,נקבה,650,34,<15,,,,,female
2020/3/22,2020/3/28,80+,לא ידוע,0,0,0,,,,,unknown
2020/3/22,2020/3/28,NULL,זכר,387,<15,0,,,,,male
2020/3/22,2020/3/28,NULL,לא ידוע,110,<15,0,,,,,unknown
2020/3/22,2020/3/28,NULL,נקבה,303,<15,0,,,,,female
2020/3/29,2020/4/4,0-19,זכר,3934,417,0,,,,,male
2020/3/29,2020/4/4,0-19,לא ידוע,<15,0,0,,,,,unknown
2020/3/29,2020/4/4,0-19,נקבה,3431,332,0,,,,,female
2020/3/29,2020/4/4,20-24,זכר,4280,318,0,,,,,male
2020/3/29,2020/4/4,20-24,לא ידוע,<15,0,0,,,,,unknown
2020/3/29,2020/4/4,20-24,נקבה,4270,261,0,,,,,female
2020/3/29,2020/4/4,25-29,זכר,2866,215,0,,,,,male
2020/3/29,2020/4/4,25-29,נקבה,2961,170,0,,,,,female
2020/3/29,2020/4/4,25-29,לא ידוע,<15,0,0,,,,,unknown
2020/3/29,2020/4/4,30-34,זכר,2734,168,0,,,,,male
2020/3/29,2020/4/4,30-34,נקבה,2603,109,0,,,,,female
2020/3/29,2020/4/4,30-34,לא ידוע,<15,<15,0,,,,,unknown
