date,case
28-11-2021,542
29-11-2021,700
30-11-2021,577
01-12-2021,563
02-12-2021,520
03-12-2021,486
04-12-2021,248
05-12-2021,539
06-12-2021,739
07-12-2021,813
08-12-2021,714
09-12-2021,647
10-12-2021,607
11-12-2021,236
12-12-2021,492
13-12-2021,771
14-12-2021,702
15-12-2021,789
16-12-2021,862
17-12-2021,877
18-12-2021,393
19-12-2021,1022
20-12-2021,1330
21-12-2021,1200
22-12-2021,1415
23-12-2021,1514
24-12-2021,1789
25-12-2021,806
26-12-2021,1805
27-12-2021,2973
28-12-2021,3241
29-12-2021,4070
30-12-2021,5079
31-12-2021,5494
01-01-2022,4230
02-01-2022,6609
03-01-2022,10954
04-01-2022,12641
05-01-2022,18588
06-01-2022,19125
07-01-2022,22014
08-01-2022,22894
09-01-2022,31163
10-01-2022,41427
11-01-2022,47462
12-01-2022,48579
13-01-2022,49245
14-01-2022,45858
15-01-2022,45085
16-01-2022,64773
17-01-2022,72061
18-01-2022,73884
19-01-2022,75094
20-01-2022,75109
21-01-2022,65632
22-01-2022,67934
23-01-2022,85248
24-01-2022,83732
25-01-2022,76362
26-01-2022,67902
27-01-2022,57740
28-01-2022,53775
29-01-2022,49441
30-01-2022,74534
31-01-2022,67897
01-02-2022,60553
02-02-2022,60915
03-02-2022,46772
04-02-2022,38278
05-02-2022,33665
06-02-2022,52744
07-02-2022,44033
08-02-2022,38293
09-02-2022,37425
10-02-2022,27933
11-02-2022,22522
12-02-2022,18050
13-02-2022,31630
14-02-2022,23687
15-02-2022,20430
16-02-2022,21309
17-02-2022,15509
18-02-2022,12590
19-02-2022,10366
20-02-2022,17705
21-02-2022,13070
22-02-2022,12160
23-02-2022,11954
24-02-2022,9149
25-02-2022,7778
26-02-2022,5997
27-02-2022,10901
28-02-2022,8526
01-03-2022,7754
02-03-2022,8314
03-03-2022,6813
04-03-2022,6056
05-03-2022,4676
06-03-2022,7756
07-03-2022,7400
08-03-2022,6615
09-03-2022,6953
10-03-2022,5721
11-03-2022,5340
12-03-2022,3972
13-03-2022,5993
14-03-2022,6563
15-03-2022,6337
16-03-2022,6785
17-03-2022,6979
18-03-2022,7332
19-03-2022,7808
20-03-2022,12931
21-03-2022,14769
22-03-2022,13454
23-03-2022,14101
24-03-2022,12033
25-03-2022,11812
26-03-2022,9860
27-03-2022,15865
28-03-2022,15338
29-03-2022,14239
30-03-2022,12162
31-03-2022,10704
01-04-2022,10504
02-04-2022,7361
03-04-2022,10794
04-04-2022,10918
05-04-2022,9340
06-04-2022,8065
07-04-2022,6796
08-04-2022,6712
09-04-2022,4668
10-04-2022,6747
11-04-2022,6629
12-04-2022,5406
13-04-2022,4787
14-04-2022,4718
15-04-2022,3848
16-04-2022,2280
17-04-2022,4099
18-04-2022,4290
19-04-2022,4611
20-04-2022,4063
21-04-2022,3793
22-04-2022,2472
23-04-2022,2541
24-04-2022,3972
25-04-2022,4447
26-04-2022,3428
27-04-2022,2519
28-04-2022,2640
29-04-2022,368
